KR-20090459,SKT-PS1-09,20,AM
KR-20090291,SKT웹고객정보보호개선,10,AD
KR-20090329,SKT T-Login부가단말 결합할부판매 기능개발,10,AD
KR-20090356,SKT F요금제 개발,10,AD
KR-20090431,SKES 09-MIS_영업/물류/ 생산/사업관리,20,AM
KR-20090452,SK에너지 PCAS 재개발,10,AD
KR-20090421,(421)SKES 09 ERP 운영 관리,20,AM
KR-20090446,SK해운 09 MIS_영업,20,AM
KR-20090447,SK해운 09 MIS_사업관리,20,AM
KR-20090378,(378)SKT ERP 운영-09,20,AM
KR-20090425,(425)SKT ERP 운영-09,20,AM
KR-20090434,SK가스 09-MIS_소매/영업/물류관리,20,AM
KR-20090339,명의도용 및 미성년자 가입불만 개선,10,AD
KR-20090368,SKT 자동납부/수납 프로세스 개선,10,AD
KR-20090379,(379)ERP_SK에너지-09,20,AM
KR-20090380,(380)ERP_SKHC-09,20,AM
KR-20090409,ERP_ SK에너지-09,20,AM
KR-20090450,SK Energy HiOK Mail/ Organization,20,AM
KR-20090454,SKN 09 MIS_정보통신(도매),20,AM
KR-20090251,POS프로젝트2009_SKN,20,AM
KR-20090290,(290)Enclean DW 운영_09_SK에너지,20,AM
KR-20090424,(424)ERP_SK에너지-09,20,AM
KR-20090460,윤활유자동창고 삼우화학(삼경물산)재고관리시스템 구축,10,AD
KR-20090462,SK가스 09-MIS_인사/구매/재무/경영지원,20,AM
KR-20090467,SK건설-MIS_사업관리- 09,20,AM
KR-20090255,SKN 09 MIS_네트워크(전용회선),20,AM
KR-20090461,SK에너지 MIS 소매/영업개선,20,AM
KR-20090422,(422)ERP_SKHC-09,20,AM
CN-20100001,ITO OIM For XJC,90,OIM
CN-20100002,ITO OIM For CVG,90,OIM
